@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
2651,'2017/04/09 16:41:59:530',23,0.662598,-0.197083,0.115601,-0.713257,-1.526168,0.128299,-0.444062,1,-1
2652,'2017/04/09 16:41:59:545',23,0.662537,-0.197021,0.115295,-0.713379,-1.525954,0.128682,-0.443513,1,-1
2653,'2017/04/09 16:41:59:567',23,0.662354,-0.19696,0.115112,-0.713623,-1.525416,0.128978,-0.44313,1,-1
2654,'2017/04/09 16:41:59:581',23,0.662048,-0.196777,0.115112,-0.713989,-1.524457,0.128931,-0.442814,1,-1
2655,'2017/04/09 16:41:59:596',23,0.661743,-0.196716,0.11499,-0.714294,-1.52359,0.129198,-0.442491,1,-1
2656,'2017/04/09 16:41:59:618',23,0.661499,-0.196777,0.114624,-0.714539,-1.52298,0.129928,-0.442,1,-1
2657,'2017/04/09 16:41:59:641',23,0.661194,-0.196716,0.114441,-0.714844,-1.522113,0.130276,-0.441585,1,-1
2658,'2017/04/09 16:41:59:656',23,0.661011,-0.196533,0.11438,-0.715088,-1.52148,0.130232,-0.441196,1,-1
2659,'2017/04/09 16:41:59:678',23,0.661194,-0.196472,0.113831,-0.715027,-1.521917,0.13081,-0.44033,1,-1
2660,'2017/04/09 16:41:59:701',23,0.661194,-0.196411,0.113342,-0.715149,-1.521866,0.131422,-0.439528,1,-1
2661,'2017/04/09 16:41:59:716',23,0.660889,-0.196289,0.113098,-0.715515,-1.520953,0.131786,-0.43894,1,-1
2662,'2017/04/09 16:41:59:739',23,0.660645,-0.196167,0.112488,-0.71582,-1.520195,0.1326,-0.437811,1,-1
2663,'2017/04/09 16:41:59:761',23,0.660645,-0.195984,0.111938,-0.715942,-1.520046,0.133116,-0.436729,1,-1
2664,'2017/04/09 16:41:59:776',23,0.660461,-0.195923,0.111877,-0.716187,-1.519511,0.133247,-0.436528,1,-1
2665,'2017/04/09 16:41:59:807',23,0.6604,-0.195923,0.111755,-0.716248,-1.519346,0.133448,-0.436335,1,-1
2666,'2017/04/09 16:41:59:821',23,0.660706,-0.195984,0.11145,-0.716003,-1.520207,0.133777,-0.436031,1,-1
2667,'2017/04/09 16:41:59:836',23,0.660889,-0.196167,0.111389,-0.71582,-1.520841,0.13401,-0.436251,1,-1
2668,'2017/04/09 16:41:59:858',23,0.661011,-0.196472,0.111206,-0.715637,-1.521405,0.134595,-0.436454,1,-1
2669,'2017/04/09 16:41:59:881',23,0.661499,-0.196777,0.11084,-0.715149,-1.522947,0.135221,-0.436453,1,-1
2670,'2017/04/09 16:41:59:896',23,0.661743,-0.197021,0.110474,-0.714905,-1.523789,0.135911,-0.436321,1,-1
2671,'2017/04/09 16:41:59:919',23,0.662109,-0.197144,0.110046,-0.7146,-1.524863,0.136455,-0.435941,1,-1
2672,'2017/04/09 16:41:59:941',23,0.662537,-0.197144,0.109436,-0.714294,-1.526003,0.137055,-0.435122,1,-1
2673,'2017/04/09 16:41:59:956',23,0.662781,-0.197083,0.108887,-0.714172,-1.526605,0.1376,-0.434271,1,-1
2674,'2017/04/09 16:41:59:979',23,0.662903,-0.196777,0.108398,-0.714233,-1.526689,0.13781,-0.433125,1,-1
2675,'2017/04/09 16:42:00:001',23,0.663086,-0.196289,0.107971,-0.714233,-1.526791,0.137638,-0.431798,1,-1
2676,'2017/04/09 16:42:00:016',23,0.663086,-0.195801,0.107605,-0.714417,-1.526404,0.137497,-0.430532,1,-1
2677,'2017/04/09 16:42:00:039',23,0.663025,-0.195435,0.107483,-0.7146,-1.525953,0.137217,-0.429798,1,-1
2678,'2017/04/09 16:42:00:061',23,0.663086,-0.195068,0.1073,-0.714661,-1.525829,0.136945,-0.428993,1,-1
2679,'2017/04/09 16:42:00:084',23,0.663086,-0.194702,0.107178,-0.714783,-1.525543,0.136628,-0.428269,1,-1
